,season,abbreviation,playoffs,w,l,pw,pl,mov,srs,o_rtg,x3p_ar,e_fg_percent,tov_percent,orb_percent,ft_fga
53,2023,PHI,False,54.0,28.0,52.0,30.0,4.32,4.37,117.7,0.389,0.563,12.6,21.6,0.25
54,2023,PHO,False,45.0,37.0,46.0,36.0,2.07,2.08,115.1,0.362,0.535,12.0,26.6,0.191
55,2023,POR,False,33.0,49.0,31.0,51.0,-4.01,-3.96,114.8,0.413,0.549,13.1,22.4,0.23
56,2023,SAC,False,48.0,34.0,47.0,35.0,2.65,2.3,119.4,0.423,0.572,12.0,22.7,0.225
57,2023,SAS,False,22.0,60.0,19.0,63.0,-10.04,-9.82,110.2,0.348,0.525,13.0,25.6,0.17
58,2023,TOR,False,41.0,41.0,45.0,37.0,1.48,1.59,115.5,0.351,0.517,10.3,27.8,0.201
59,2023,UTA,False,37.0,45.0,39.0,43.0,-0.94,-1.03,115.8,0.421,0.547,13.3,26.8,0.209
60,2023,WAS,False,35.0,47.0,38.0,44.0,-1.21,-1.06,114.4,0.365,0.55,12.7,22.6,0.202
62,2022,ATL,True,43.0,39.0,45.0,37.0,1.56,1.55,116.5,0.39,0.543,10.8,23.0,0.205
63,2022,BOS,True,51.0,31.0,59.0,23.0,7.28,7.02,114.4,0.425,0.542,12.4,24.0,0.195
64,2022,BRK,True,44.0,38.0,43.0,39.0,0.78,0.82,113.6,0.359,0.54,12.5,23.9,0.198
65,2022,CHI,True,46.0,36.0,40.0,42.0,-0.39,-0.38,113.2,0.332,0.541,11.8,20.4,0.201
66,2022,CHO,False,43.0,39.0,42.0,40.0,0.44,0.53,114.1,0.418,0.544,11.6,23.3,0.173
67,2022,CLE,False,44.0,38.0,47.0,35.0,2.12,2.04,111.9,0.387,0.538,13.2,24.0,0.198
68,2022,DAL,True,52.0,30.0,50.0,32.0,3.3,3.12,112.8,0.439,0.538,11.7,21.3,0.192
69,2022,DEN,True,48.0,34.0,47.0,35.0,2.3,2.16,114.5,0.416,0.556,13.2,21.9,0.194
70,2022,DET,False,23.0,59.0,22.0,60.0,-7.72,-7.36,106.0,0.391,0.494,12.6,23.4,0.194
